M1,M2,M3,qin,qout,t_triple_form,z_merger,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,strong_key,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
21199775.877715692,3473441.2656964464,24631184.163605113,0.16384330125619775,0.9982964126825168,1352693476.329283,4.317381881447654,1021141696.8030634,1060988297.2950387,0.006985901545852712,Yes,True,9223372036337899864,9223372036518620732,9223372036417148615,9223372036518620732,0.3816188586436807,3429.773746221932
39123695.42418127,18463474.95778198,6650000.814408412,0.4719256388641197,0.11547712398960383,1496718152.1029062,0,1040344029.328463,1390165096.4486618,471.87645174386034,No,False,7485090281198742830,9223372036486510624,9223372036486510624,9223372036599118495,0.6662419765351797,1604.0910688489614
239126772.95762494,129614642.56498918,12875042.522835419,0.5420331691088303,0.03491618240003697,5596502614.534191,0.16401958052809387,1135090984.7607858,2290863792.799516,0.21635825575312698,Yes,True,9223372036342602658,9223372036486077725,9223372036486077725,9223372036893973198,0.59583725015055,1390.6619383799637
31503026.057892684,6011976.433115665,3975624.073524564,0.1908380617807171,0.10597424522302637,1377548902.3433328,1.180099827821318,1197819700.2475162,1377547364.229724,453.8539856844464,Yes,False,9223372036605218289,9223372036813088478,9223372036454186084,9223372036813088478,0.6507773656240812,1408.3774411317224
212213535.24995366,147740715.44003025,6859143.289610381,0.6961889366105478,0.019055597416789288,11001141784.563446,0,1244582216.943688,7367242588.440431,0.05661099108437465,No,True,9223372036798549652,9223372036831413043,9223372036831413043,9223372039019874757,0.8453727250643649,851.1316425956252
82395024.90491791,51137219.78972575,4296125.544553112,0.6206347998406093,0.032172944852213975,13038324703.116219,0,1246229827.3339248,5903696308.831903,0.07253710531222833,No,True,9175344300051172004,9223372036970140153,9223372036970140153,9223372040703864032,0.8740407482074649,827.3012702112943
54943139.6927825,28506951.565103825,2885805.469379375,0.51884460415808,0.03458121406316205,2806228787.0021014,0,1296324613.8623307,2791032112.143211,988.3353020237122,No,False,9223372036843855543,9223372036897966438,9223372036897966438,9223372038052823196,0.8519709558348478,1134.6214159434005
231693008.7618393,70447434.26316777,17919823.71887706,0.30405507114624136,0.05930958311792076,1837549670.5419002,1.645235947779111,1302507665.1354923,1747671391.6360772,800.8874370329886,Yes,False,9223372036331263577,9223372036581589630,9223372036536320012,9223372036581589630,0.7090375849622483,1886.9494665279485
46252446.34538654,8973634.99856534,2419779.006100027,0.1940142783271488,0.043815873717881135,3438073890.99657,0,1324272800.5406044,1745254609.1236794,0.1694301110980994,No,True,9223372036604300802,9223372036858472384,9223372036849763822,9223372036858472384,0.8110562610725129,498.69198944902644
19614723.69120593,3186463.8143819473,5226815.239334282,0.16245264855862165,0.2292343430820587,1480912285.7596657,1.5429426106980586,1334043928.7431705,1370363431.1069798,935.8116414984205,Yes,False,9223372036480012739,9223372036927653932,9223372036667069544,9223372036927653932,0.7087843982816324,1471.8138235998865
