m 1 = 10 10 M ⊙ m 1 = 10 10 M ⊙,Per cent mergers,,,
q in / q out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.0316/0.0316,21.2,9.6,0,30.8(32.7)
0.0316/ 0.1,33.3,6.4,0,39.7(11.5)
0.0316/0.3162,19.9,4.5,0,24.4(7.7)
0.0316/ 1,32.1,1.3,5.8,39.1(7.7)
0.1/0.0316,7.7,7.7,0,15.4(15.4)
0.1/ 0.1,21.8,13.5,1.9,37.2(23.1)
0.1/0.3162,36.5,8.3,3.2,48.1(10.3)
0.1/ 1,18.6,4.5,4.5,27.6(7.1)
0.3162/0.0316,4.5,1.3,0,5.8(10.9)
0.3162/ 0.1,16.7,3.8,1.3,21.8(12.2)
0.3162/0.3162,37.2,14.7,1.9,53.8(15.4)
0.3162/ 1,19.2,7.7,7.1,34.0(7.1)
1/0.0316,0.6,1.3,0.6,2.6(5.1)
1/ 0.1,9.6,1.3,0,10.9(12.2)
1/0.3162,32.7,16.7,10.9,60.3(9.6)
1/ 1,25.6,18.6,15.4,59.6(14.7)
Average,21.1,7.6,3.3,31.9(12.7)
e in / e out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.2/0.3,18.3,6.7,5.8,30.8(18.3)
0.2/0.6,8.2,9.6,2.9,20.7(6.7)
0.2/0.9,8.2,13.9,3.8,26.0(3.8)
0.4/0.3,24.5,4.8,3.4,32.7(7.2)
0.4/0.6,15.9,4.8,2.9,23.6(14.9)
0.4/0.9,13.9,11.5,2.9,28.4(7.2)
0.6/0.3,28.8,8.2,1.9,38.9(9.6)
0.6/0.6,19.2,6.2,2.9,28.4(10.6)
0.6/0.9,14.4,10.6,2.9,27.9(13.0)
0.8/0.3,47.1,3.4,2.4,52.9(3.4)
0.8/0.6,32.7,4.3,3.4,40.4(7.7)
0.8/0.9,21.6,6.7,4.3,32.7(5.8)
Average,21.1,7.6,3.3,31.9(12.7)
ι,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
10,14.6,9.4,7.8,31.8(14.1)
34.9323,11.5,8.9,3.6,24.0(14.6)
49.0917,16.7,7.3,4.2,28.1(12.0)
60.6678,20.8,7.8,2.1,30.7(14.6)
71.0409,23.4,9.4,3.6,36.5(10.4)
80.7981,23.4,8.9,3.6,35.9(12.5)
90.2902,29.7,6.2,2.1,38.0(12.5)
99.7903,33.9,4.7,2.6,41.1(10.9)
109.574,27.1,6.2,1,34.4(12.0)
120,25.5,5.7,1.6,32.8(15.1)
131.681,13.5,9.9,2.1,25.5(9.9)
146.094,15.1,5.7,3.6,24.5(12.0)
174.231,18.8,8.3,4.7,31.8(14.1)
Average,21.1,7.6,3.3,31.9(12.7)
,,,,
m 1 = 10 9 M ⊙ m 1 = 10 9 M ⊙,Per cent mergers,,,
q in / q out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.0316/0.0316,9,5.1,0,14.1(20.5)
0.0316/ 0.1,23.7,3.2,0,26.9(13.5)
0.0316/0.3162,9,1.3,0.6,10.9(3.8)
0.0316/ 1,25,0,1.9,26.9(0.0)
0.1/0.0316,4.5,1.9,0,6.4(16.7)
0.1/ 0.1,16,5.8,0.6,22.4(17.3)
0.1/0.3162,24.4,3.2,1.3,28.8(11.5)
0.1/ 1,25.6,0,7.1,32.7(1.3)
0.3162/0.0316,2.6,0.6,0,3.2(7.1)
0.3162/ 0.1,12.8,2.6,0.6,16.0(14.1)
0.3162/0.3162,26.3,14.1,3.8,44.2(16.0)
0.3162/ 1,17.3,1.9,4.5,23.7(5.8)
1/0.0316,1.3,0,0,1.3(5.1)
1/ 0.1,5.8,0,0.6,6.4(8.3)
1/0.3162,26.9,12.2,14.1,53.2(16.0)
1/ 1,13.5,14.1,15.4,42.9(21.8)
Average,15.2,4.1,3.2,22.5(11.2)
e in / e out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.2/0.3,18.3,3.8,3.4,25.5(9.1)
0.2/0.6,7.7,3.8,3.4,14.9(8.7)
0.2/0.9,5.3,5.3,2.4,13.0(2.4)
0.4/0.3,16.3,3.4,3.8,23.6(13.5)
0.4/0.6,13,3.8,2.4,19.2(12.0)
0.4/0.9,7.7,5.3,3.4,16.3(8.2)
0.6/0.3,22.6,2.4,6.2,31.2(6.2)
0.6/0.6,12,5.3,2.9,20.2(11.1)
0.6/0.9,9.1,3.8,1,13.9(13.0)
0.8/0.3,34.1,1.9,1.9,38.0(5.3)
0.8/0.6,24.5,4.3,4.3,33.2(7.2)
0.8/0.9,12,6.2,2.9,21.2(13.0)
Average,15.2,4.1,3.2,22.5(11.2)
ι,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
10,10.9,4.2,6.2,21.4(14.6)
34.9323,10.4,4.2,3.1,17.7(10.4)
49.0917,10.4,1.6,7.8,19.8(14.1)
60.6678,10.4,2.1,7.3,19.8(13.0)
71.0409,8.3,5.7,3.6,17.7(8.3)
80.7981,17.7,6.2,0.5,24.5(12.5)
90.2902,26.6,6.2,1,33.9(8.3)
99.7903,27.1,2.1,1,30.2(8.9)
109.574,18.2,4.7,0.5,23.4(12.5)
120,22.4,2.6,3.1,28.1(13.0)
131.681,14.1,4.2,1,19.3(8.9)
146.094,10.4,5.2,2.1,17.7(10.9)
174.231,10.9,4.7,3.6,19.3(9.9)
Average,15.2,4.1,3.2,22.5(11.2)
,,,,
