M1,M2,t_merger,Merger,Type,GW-kick-random,GW-kick-aligned
2261178977.2727275,1629005681.8181818,858774126.4501525,Yes,iso,611.3199519484142,85.24033876140928
1614772727.2727273,1077349431.818182,893400572.0504106,Yes,iso,175.7619048965126,68.10908651787165
6554857954.545454,1175723011.3636365,4120229485.36754,Yes,iso,259.5345507754838,112.11740192278616
2595241477.2727275,1829403409.090909,1008371258.7989472,Yes,iso,1585.0656984520556,334.79713546721064
14971448863.636366,2327059659.0909095,1495238062.782061,Yes,iso,177.22130932064695,69.81514659716929
6836022727.272728,1227880681.8181818,9039345464.318724,Yes,iso,240.11379858326657,99.98652187621843
2895099431.818182,1231484375.0,1059794907.0462172,Yes,iso,1587.0980759760844,103.71465910729991
24680539772.727276,24638494318.18182,1618407115.293922,Yes,iso,304.2480707794141,153.9031567304433
10554829545.454546,3178096590.909091,1072040319.5716084,Yes,iso,996.4589543506672,261.65298228403907
4590213068.181818,2316946022.727273,1583117703.8484528,Yes,iso,235.55983218923075,284.7345189446988
5942215909.09091,2663309659.0909095,1443318660.1110344,Yes,iso,306.6853895368922,134.90154846791
34634375000.0,1356666193.1818182,12470152101.418991,Yes,iso,33.99658091372336,12.317193785352549
82806107954.54546,17558380681.81818,1285606015.0038626,Yes,iso,329.91377083208545,115.97644018297144
21578835227.272728,4548409090.909091,1530950472.3775868,Yes,iso,1022.6277626389701,160.21149607121166
8790838068.181818,1025251420.4545456,10439014606.457426,Yes,iso,64.73855537182864,90.91270720602002
11739928977.272728,9507045454.545454,1258996984.3533795,Yes,iso,128.892711148476,39.19111283571192
2384758522.727273,1377708806.818182,13419505989.925228,Yes,iso,224.17245641209064,179.23741044632186
3207130681.818182,2752599431.818182,1200387406.297072,Yes,iso,651.9163153034293,132.53158864301332
5421803977.272727,3758863636.363636,1207504212.8739684,Yes,iso,2178.2056851129682,376.91563423981546
10558451704.545456,1492500000.0000002,1212741737.7502167,Yes,iso,97.95071621881836,82.84986432077282
7330582386.363637,4490880681.818182,1220451816.6489844,Yes,iso,176.35552959248682,98.00239883178972
6510568181.818182,4450042613.636364,11982936862.409328,Yes,iso,818.9440269618435,300.85429553675857
1406248579.5454547,1317009943.181818,1347676681.0514145,Yes,iso,470.29224295464263,332.25242651230604
2602357954.5454545,1250251420.4545455,1234764135.715196,Yes,iso,1047.7719683555902,216.0395175791986
40735511363.63637,22151562500.000004,2050554081.4482424,Yes,iso,1690.8552019215258,252.018004632779
2236690340.909091,2184474431.818182,10810798540.357506,Yes,iso,1249.2194812154476,108.83381374435236
5092286931.818182,1093052556.8181818,1284631714.814643,Yes,iso,261.2649223410499,120.85432252084806
31664062500.000004,9252713068.181818,1686892188.3043568,Yes,iso,592.1833945292319,111.80166222081074
2032982954.5454545,1353600852.2727275,12873044926.111288,Yes,iso,1176.0985072364776,64.34019159405423
5892258522.727274,3230369318.181818,1348715920.5779662,Yes,iso,268.9672201623057,151.00826035277473
