M1,M2,t_merger,Merger,Redshift,Type,BH1-ID,BH2-ID
2261178.9772727275,1629005.6818181816,858774126.4501525,Yes,6.459185128770795,iso,9223372036326575607,9223372036365264250
1614772.7272727273,1077349.4318181819,893400572.0504106,Yes,6.2651761785379945,iso,9223372036330308081,9223372036383756962
6554857.954545454,1175723.0113636365,4120229485.36754,Yes,1.587945367720278,iso,9223372036306477048,9223372036351439102
7039616.4772727275,6263607.954545455,89337138643.54794,No,0,iso,9223372036312285311,9223372036346956171
11791392.045454545,3306548.2954545454,14217143975.611784,No,0,iso,9223372036300488336,9223372036365264250
2595241.4772727275,1829403.409090909,1008371258.7989471,Yes,5.7016102375396756,iso,9223372036405417417,9223372036501930090
14971448.863636365,2327059.6590909096,1495238062.782061,Yes,4.150292850411491,iso,9223372036337899864,9223372036518620732
6836022.727272728,1227880.6818181819,9039345464.318724,Yes,0.44890168116897816,iso,9223372036315813145,9223372036570133338
4490156.25,1788196.0227272725,57221819804.41032,No,0,iso,9223372036324669802,9223372036469460192
3152045.4545454546,2227585.2272727275,18642171414.48828,No,0,iso,7485090281198742830,9223372036486510624
2895099.431818182,1231484.375,1059794907.0462173,Yes,5.482807953812383,iso,9223372036463783623,9223372036474259192
5389531.25,1419184.6590909092,83002992625.6027,No,0,iso,9223372036312969829,9223372036414685152
24680539.772727277,24638494.31818182,1618407115.293922,Yes,3.884235992609005,iso,9223372036417148615,9223372036518620732
10554829.545454547,3178096.590909091,1072040319.5716083,Yes,5.433284488278385,iso,9223372036397955348,9223372036409461211
2447286.931818182,1902613.6363636365,16953334956.051447,No,0,iso,9223372036474582867,9223372036551351015
4590213.068181818,2316946.022727273,1583117703.8484528,Yes,3.956953403585951,iso,9223372036518629647,9223372036559335619
5942215.90909091,2663309.659090909,1443318660.1110344,Yes,4.273615331242182,iso,689042884731221560,9223372036362427556
12744360.795454545,2348650.5681818184,18739457245.95495,No,0,iso,9223372036392571471,9223372036430859410
34634375.0,1356666.1931818184,12470152101.418993,Yes,0.09864589907306005,iso,9223372036403457004,9223372036656866705
82806107.95454545,17558380.68181818,1285606015.0038626,Yes,4.698066762255598,iso,9223372036363411559,9223372036818057040
21578835.227272727,4548409.090909091,1530950472.3775868,Yes,4.069507715830666,iso,9223372036327007274,9223372036339922038
11272187.500000002,4005738.6363636362,42024627829.158936,No,0,iso,9223372036342602658,9223372036486077725
29252982.954545453,1103968.7500000002,17070694918.170076,No,0,iso,9223372036346159609,9223372036627034888
8790838.068181818,1025251.4204545456,10439014606.457426,Yes,0.28606943943738566,iso,2812556790251156168,9223372036434367783
2772798.2954545454,1693252.8409090908,323388613523.2182,No,0,iso,9223372036651817921,9223372036711246912
11739928.977272728,9507045.454545455,1258996984.3533795,Yes,4.778294510254247,iso,4326668434417304668,9223372036372029166
7238494.318181818,3640738.6363636362,14698345121.311852,No,0,iso,9223372036409113386,9223372036865220493
