M1,M2,t_merger,Merger,Type
4.496150597824015e+39,3.239130977150481e+39,858774126.4501525,Yes,iso
3.210830029843103e+39,2.1422122444182098e+39,893400572.0504106,Yes,iso
1.3033744257841818e+40,2.3378192410022915e+39,4120229485.36754,Yes,iso
1.3997642889337733e+40,1.245461988300101e+40,89337138643.54794,No,iso
2.3446120332452297e+40,6.574773268621634e+39,14217143975.611784,No,iso
5.1604037702540826e+39,3.637603796125028e+39,1008371258.7989471,Yes,iso
2.976937669910567e+40,4.627148395839606e+39,1495238062.782061,Yes,iso
1.3592815067225303e+40,2.4415300677667256e+39,9039345464.318724,Yes,iso
8.928271008476545e+39,3.555666622333905e+39,57221819804.41032,No,iso
6.267558294707107e+39,4.4293524537302526e+39,18642171414.48828,No,iso
5.756644286879592e+39,2.4486956868604202e+39,1059794907.0462173,Yes,iso
1.0716597135935605e+40,2.821920784479612e+39,83002992625.6027,No,iso
4.907502889824675e+40,4.899142530141057e+40,1618407115.293922,Yes,iso
2.0987327251717243e+40,6.319358631395462e+39,1072040319.5716083,Yes,iso
4.866209491657621e+39,3.783175734670167e+39,16953334956.051447,No,iso
9.127224973379913e+39,4.6070383414655e+39,1583117703.8484528,Yes,iso
1.1815560767455357e+40,5.295751214861825e+39,1443318660.1110344,Yes,iso
2.534101280141908e+40,4.670079972593313e+39,18739457245.95495,No,iso
6.88673331154578e+40,2.6976084497650764e+39,12470152101.418993,Yes,iso
1.6465248241090658e+41,3.4913257461201243e+40,1285606015.0038626,Yes,iso
4.290756896407591e+40,9.044101532336385e+39,1530950472.3775868,Yes,iso
2.241372888935919e+40,7.965050243982004e+39,42024627829.158936,No,iso
5.816692005418002e+40,2.1951423594421892e+39,17070694918.170076,No,iso
1.7479789186480912e+40,2.038620044379016e+39,10439014606.457426,Yes,iso
5.513459500136549e+39,3.3668806624511526e+39,323388613523.2182,No,iso
2.3343790659703167e+40,1.890390302299322e+40,1258996984.3533795,Yes,iso
1.4393093551264486e+40,7.239280641177217e+39,14698345121.311852,No,iso
4.7418773858222116e+39,2.739449790424907e+39,13419505989.925228,Yes,iso
6.377090304345843e+39,5.47329588030512e+39,1200387406.297072,Yes,iso
3.588825616484467e+40,6.279788145190235e+39,42402549122.6867,No,iso
1.0780768545399042e+40,7.474161557153423e+39,1207504212.8739684,Yes,iso
8.382503338995034e+39,2.6553632133502597e+39,48834227517.484795,No,iso
2.0994529588606845e+40,2.9677017320168413e+39,1212741737.7502167,Yes,iso
1.457620237501073e+40,8.929711475854466e+39,1220451816.6489844,Yes,iso
1.3161776387726396e+40,2.8087023779528126e+39,89103949529.48535,No,iso
1.2945678036579936e+40,8.848508657981499e+39,11982936862.409328,Yes,iso
4.9422718181035e+39,2.3302949172870364e+39,357475125973.3651,No,iso
2.796198556223295e+39,2.6187555708302064e+39,1347676681.0514143,Yes,iso
5.1745542439077716e+39,2.4860122652860775e+39,1234764135.7151961,Yes,iso
3.419923755308695e+39,2.0219501650368854e+39,80447353850.95212,No,iso
6.074422688232202e+39,2.346987392195879e+39,167872811864.76035,No,iso
8.099889288338717e+40,4.40463855263848e+40,2050554081.4482424,Yes,iso
6.515572883834942e+40,2.4787986306131188e+39,16143779679.940643,No,iso
4.447457151558625e+39,4.34363052251479e+39,10810798540.357506,Yes,iso
1.0125553599653966e+40,2.1734364931690148e+39,1284631714.814643,Yes,iso
3.243113445783556e+40,1.407887395166909e+40,60130836603.31957,No,iso
6.296113442140001e+40,1.8398185995509576e+40,1686892188.3043568,Yes,iso
3.418200843346868e+40,6.902465474869343e+39,173068446674.04657,No,iso
4.042403373779069e+39,2.6915132956443854e+39,12873044926.111288,Yes,iso
2.518247665647266e+40,2.844612382350618e+39,234579309231.17444,No,iso
6.253831487929276e+39,5.967291457556667e+39,8746772963038.402,No,iso
7.700569135612452e+39,2.6736176068081027e+39,5727308126066.06,No,iso
4.3127875739522574e+40,2.6697763604669817e+39,204203052172.20764,No,iso
1.9282011587468148e+40,4.01644671651811e+39,44185606362.32022,No,iso
3.861638840079246e+40,3.1236111423329383e+40,86801160046.6896,No,iso
7.863793860651715e+39,6.119500843823596e+39,64730702494.759476,No,iso
1.1716225007295627e+40,6.42329823827286e+39,1348715920.5779662,Yes,iso
3.793202517398829e+39,2.7517530764998514e+39,1686323031.7116818,Yes,trip
6.503145322143079e+40,1.3612331987973204e+40,19304298882.611206,No,iso
6.123878734874138e+39,4.5217683215842866e+39,24030437802.44781,No,iso
5.881738993091547e+40,2.2738483671934276e+39,5697546272.796314,Yes,iso
4.077680702308925e+39,2.3871566609189866e+39,1325362394.0855722,Yes,iso
3.083334544667947e+39,2.646067962093914e+39,202504448880.80795,No,iso
8.254951364903096e+39,4.648896628800365e+39,18255153133.064022,No,iso
6.860014053908276e+40,4.318634176839111e+39,25569811707.145298,No,iso
8.566798429993681e+39,2.78954698627231e+39,1342415519.400763,Yes,iso
1.7260583944911486e+40,5.867334319312342e+39,54884681402.775826,No,iso
3.0996598416177123e+40,4.8505620617092304e+39,4709480240.285296,Yes,iso
6.537010427753405e+40,2.4937710180059743e+40,2055998677.743484,Yes,trip
2.2703517032446716e+40,1.7309785791427908e+40,1439256577.7958496,Yes,iso
1.1366473879044858e+40,2.4990640295083726e+39,1894577010.107686,Yes,iso
6.823013813416594e+41,6.3405702196468e+40,7228728421.021394,Yes,iso
1.2693511512068683e+40,3.033596053442105e+39,120286072238.80128,No,iso
1.0495612493487573e+41,1.6319224391211272e+40,1988184838.4743712,Yes,iso
5.47945317223427e+39,2.4374713390959968e+39,8118256965.967379,Yes,iso
8.097488509375517e+40,2.352503534919563e+40,4314479152.259864,Yes,iso
4.879088964683733e+40,2.1574303585990638e+39,108060090227.91743,No,iso
2.583964046984669e+40,2.9413214078800234e+39,44013666081.37699,No,iso
1.638960958152064e+40,3.546797862399258e+39,7075005037.127945,Yes,iso
4.535156194861429e+40,1.0396135511035889e+40,6265269903.166337,Yes,iso
1.7504248887447173e+40,5.555289543013024e+39,17647475447.597233,No,iso
9.304148260738615e+41,1.0410653162648655e+40,8919978390.30533,Yes,iso
1.7379154181235216e+40,2.0261444671078894e+39,139756399887.33954,No,iso
6.784375394338256e+39,2.7803166972702624e+39,4103104672.2333517,Yes,iso
7.461733995461561e+40,7.907516282240359e+39,3071979994.4602222,Yes,iso
2.5817553303385242e+40,6.515177461417474e+39,3125062101.3620796,Yes,iso
2.1071552226638004e+40,5.738511344592828e+39,325572663676.466,No,trip
4.687704514629046e+39,2.8029263862119355e+39,1400501600.1727164,Yes,iso
2.3057843762956758e+39,2.144689283419065e+39,10418882111.340479,Yes,trip
5.255079194779365e+39,4.6523424527240175e+39,69992355310.49475,No,iso
8.494690327722487e+39,8.11141302736208e+39,9237626907.325325,Yes,iso
1.2920992379946554e+41,1.3341382898632206e+40,205720346787.2486,No,iso
1.2670435789563564e+40,1.1354385250853685e+40,6683284144.95526,Yes,iso
1.1454088188972492e+41,1.3226851619858333e+40,28134845582.16468,No,iso
3.4581385075111733e+40,3.281441175819596e+40,2162792394.9877243,Yes,iso
4.0380254827285267e+40,1.416442641613421e+40,3297537876.8948946,Yes,iso
4.074460834052397e+40,4.4709565409396023e+39,3948462650.82886,Yes,iso
1.2837586494319122e+41,6.391410244749876e+39,118444340429.18419,No,iso
1.5138775497234645e+40,3.5454703728549e+39,87098551474.76884,No,iso
1.1982824450044473e+40,1.14567714125196e+40,201833095639.3066,No,iso
5.589719537791162e+40,4.1776095960948584e+39,29990566821.519123,No,iso
1.6527160093882845e+40,2.248611943621429e+39,1744870703.4590983,Yes,iso
2.192252951348831e+40,1.0667903689670216e+40,113601687063.15448,No,trip
2.373020309494493e+40,2.0322198501077065e+39,62305105189.773605,No,iso
1.444043126352713e+40,2.0170864693020245e+39,34736656051.30504,No,iso
3.292117581091242e+40,1.300357917628066e+40,52749516026.78829,No,trip
4.719084107901e+40,1.121228738069059e+40,145558288536.85162,No,iso
2.0068817464855016e+40,5.227795047974048e+39,11116361962.640392,Yes,iso
4.445931950805532e+40,8.959989535249187e+39,59408615336.31242,No,iso
1.098446757931203e+41,4.812940443132954e+39,37552700484.10975,No,iso
1.3345308878348496e+40,2.4967056172327576e+39,1749688337.642203,Yes,iso
6.009573411767391e+41,3.564252937684647e+40,4717367277.126802,Yes,iso
3.600179888757487e+40,5.0789467522556004e+39,50088100029.06128,No,iso
1.0172269933832014e+41,6.589008475650494e+39,5639706309.184325,Yes,iso
5.505664029620744e+40,3.4853661653997084e+39,182307381143.21945,No,iso
3.851696790725756e+40,3.294716071263177e+39,1438504945498.466,No,iso
5.808444623567947e+40,3.1263790992552166e+39,6868416368.1592455,Yes,iso
8.521070651859304e+40,6.364832209404324e+39,402430788400.9994,No,iso
1.9018490790683875e+41,5.974578527821441e+39,63699441367.01238,No,iso
2.536730839218073e+40,7.339520224005446e+39,34917669917.377556,No,iso
2.5041593298020363e+40,6.842135311747028e+39,5883422237.79142,Yes,iso
2.6357841547938975e+41,2.801059427512317e+40,12064974236.550056,Yes,iso
2.930334313566081e+40,5.138316603792636e+39,104778319183.39848,No,iso
1.1800958382467418e+41,3.792129227979986e+39,24103171741.01764,No,iso
4.407293531727196e+40,2.763994224766336e+39,15791113279.288082,No,iso
2.4696276549736917e+40,8.753692011164263e+39,21537113083.516026,No,iso
4.1910822027471735e+39,3.382838781441841e+39,28764369517.422817,No,trip
2.939598495918197e+40,3.7879208036797875e+39,7646787608.66904,Yes,iso
5.4435544656198207e+39,5.223219445714771e+39,1789741817.884534,Yes,iso
4.06562031857614e+39,3.1602442048655433e+39,17421733774.689583,No,iso
3.073816162190315e+41,2.044497716170099e+41,23097516629.607807,No,iso
2.147344262507781e+40,1.3142767867229523e+40,3211470348.4636846,Yes,iso
1.2541838770511176e+40,5.652168035292772e+39,88357255903.53085,No,trip
2.950670323607311e+40,8.178691327248483e+39,5795609579.265955,Yes,iso
2.1802123387369193e+40,5.423952811496746e+39,26178834240.50908,No,trip
3.683811730052045e+41,5.1474113193944076e+39,10152729305.501968,Yes,iso
9.966537298914903e+39,2.1112308980095636e+39,53034434886.26841,No,trip
1.946271963225119e+40,3.8245256217540015e+39,124518653202.27194,No,iso
7.75626720755871e+39,3.4953364592115896e+39,722770277314.8026,No,iso
1.3409028376477685e+40,6.527887467693243e+39,9167657055.215527,Yes,iso
7.574288162148092e+40,3.1306157680138064e+40,257961218963.2073,No,iso
9.710077616728279e+40,7.578411853073119e+40,32182378531.07224,No,trip
1.003536904401279e+40,3.642772532010508e+39,8870450265.515862,Yes,iso
6.307637181163364e+39,2.2745064630739284e+39,77167950922.21706,No,iso
6.820217612035924e+39,3.362333304650267e+39,155241927470.28326,No,iso
1.9674835514764574e+40,1.497012783618439e+40,267611141260.73224,No,iso
1.071207802259311e+40,4.4429380382161294e+39,39150111221.95848,No,iso
4.949078732575634e+40,3.285310666619108e+39,4755172518.104454,Yes,iso
6.308964670707722e+40,8.59368715438153e+39,11706369928.231354,Yes,trip
2.10084823510518e+40,4.632910265351287e+39,210381739091.71982,No,iso
3.1888840856736088e+41,3.008034818598614e+40,4842898772.35237,Yes,iso
1.0881431795103131e+42,1.5444126336895393e+41,6213882902.777627,Yes,iso
4.0823127934849828e+40,9.263391507280983e+39,11814459223.048574,Yes,iso
3.4052083924871933e+40,2.306916979077139e+40,2082157396.8608239,Yes,iso
1.2271934726130627e+40,1.0474852816570483e+40,2194281050739.621,No,iso
4.5958817804012145e+39,2.297836385704562e+39,56956573337.104614,No,iso
5.254740261278678e+40,1.3597786091902048e+40,457800342298.89594,No,iso
1.0989410359530385e+40,5.3929686406422605e+39,230069631650.34174,No,trip
1.1926674466763966e+40,2.5038684118806132e+39,10498046526.908625,Yes,iso
6.789176952264659e+39,1.99871627356478e+39,470851257449.6095,No,iso
5.059260364757353e+39,2.4919774948981716e+39,1872788933.1088693,Yes,iso
4.208283077907047e+40,4.00271990974028e+39,50560742208.50452,No,iso
3.4710744694540666e+41,6.196721193063489e+39,5131548881.294072,Yes,iso
1.0550519720598893e+40,5.488632621211214e+39,149731975563.98853,No,iso
9.5682339466907e+40,3.008458485474473e+39,20325862345.230465,No,iso
6.833605485313067e+39,5.985593866593774e+39,610958581944.6321,No,trip
6.829284083179307e+40,1.6100668772184828e+40,13281936892.104729,Yes,trip
1.941298114102535e+41,8.114915340202514e+40,41956706998.95274,No,iso
4.719055863442609e+39,3.118357673072287e+39,705592775985.07,No,iso
1.2997873795685759e+41,6.267586539165497e+39,161627487995.4021,No,iso
1.9007051785035683e+41,3.5086113546551703e+39,29619987060.747578,No,iso
4.915383093715651e+39,2.9495123008132963e+39,19130073059.64721,No,trip
4.442062460006021e+39,2.2039150882183086e+39,95175606362.13438,No,iso
2.860175078923837e+40,2.1029863406053482e+40,4503746900.27355,Yes,iso
9.093557578978321e+40,4.885726412405523e+40,41164099467.837555,No,iso
7.467778309557149e+39,1.991940427996876e+39,7627609411.362136,Yes,iso
1.4041760733343846e+40,3.3819349587733415e+39,604021456838.814,No,iso
3.790095626975863e+39,2.2902668708558818e+39,1834306884.3192604,Yes,iso
3.030630385311092e+40,5.0203112566367204e+39,227059228748.14478,No,trip
3.0846337897539143e+40,1.271602234540599e+40,435103942103.2052,No,iso
1.1149951861022542e+41,5.027711304735056e+39,46846705778.545616,No,iso
6.60626583972715e+40,4.748797278127908e+39,266713399591.89316,No,iso
7.698027134357298e+39,2.5101302083058083e+39,65205379291.44254,No,iso
3.4366727191343195e+40,2.9258152002235855e+40,5335186075.733257,Yes,iso
4.503889579423039e+39,2.387408036598663e+39,3998863716.013753,Yes,trip
6.253323087678245e+39,5.2588639522037047e+39,82994170412.27417,No,iso
2.8020451591101485e+39,2.4532430446613066e+39,39705199149.69053,No,iso
1.6373594973613172e+41,2.855486498830998e+39,254333913589.62686,No,iso
1.3323052245136707e+42,4.572015213061159e+39,26967987353.4768,No,iso
3.128582167009683e+39,2.2843920235106375e+39,18756975736.751442,No,iso
2.659215757474737e+40,5.383111324663942e+39,267208652074.11227,No,iso
5.950203560230356e+39,5.306964264842892e+39,1252010933841.7195,No,iso
5.325859807506201e+39,3.8567807932360635e+39,59507932987.918236,No,iso
3.770268017185664e+39,2.4160450929608898e+39,35952501034138.43,No,iso
6.021097150790755e+39,4.7167963067713616e+39,1932410961141.4377,No,iso
2.1845393897623588e+39,2.1755491786566316e+39,1843990544.870242,Yes,iso
7.679442280736286e+41,6.315206696012044e+39,43688813142.234985,No,iso
1.4610943058831162e+42,1.5803282869790228e+40,50156260330.64255,No,iso
2.9229342654677444e+40,7.093765191548859e+39,18767513998.98856,No,iso
4.474543587155208e+40,3.374337199466271e+39,9201701308.639553,Yes,iso
7.104328618986942e+41,4.8517200845032445e+39,13579530712.403704,Yes,iso
1.4079099907336214e+41,7.272015968451919e+39,159017893452.50607,No,iso
7.359743256213114e+39,2.0427126663998136e+39,20572376374.168106,No,iso
1.306975594228983e+40,8.880566118254827e+39,124772200409.80042,No,iso
2.1011080841223736e+40,3.801054476831415e+39,534935531513.1055,No,iso
4.871688916585396e+40,2.2130578193993448e+39,48677372647.67149,No,iso
1.4381117900906875e+40,6.186327232375748e+39,35658261839.982185,No,iso
3.960861622405415e+39,2.740356437539245e+39,2328819180.975574,Yes,trip
6.167968334421861e+40,1.941024142856146e+40,121856824258.64429,No,iso
4.038844572021854e+40,2.0210237468016736e+39,108364567169.29868,No,iso
5.103717142264154e+40,3.8989215251548346e+39,45684737108.64484,No,iso
2.2016470582095435e+40,1.0750970641796963e+40,3617862765.2270026,Yes,iso
1.3866503869030189e+41,3.6854216641803094e+39,41165597808.75388,No,iso
2.0921122241249682e+41,4.045538508660425e+39,71371252874.89877,No,iso
7.728983060753393e+39,1.998614593514574e+39,83178612330.09119,No,iso
7.686503395333935e+40,1.538289235110458e+40,7287375174.979834,Yes,iso
3.18563597295869e+40,1.7531984945586739e+40,62561736978.30012,No,iso
1.8739096608284086e+41,3.4008022569782604e+39,29156788212.142754,No,iso
3.907790285089482e+39,3.5079617321121866e+39,70028776966.99416,No,iso
2.1630961969522172e+40,4.505273557884178e+39,2438218678.3800426,Yes,iso
3.37478911080052e+40,1.5404838295274073e+40,7327739306.607002,Yes,iso
7.542767346584185e+39,4.166650746239307e+39,215900325316.09225,No,iso
1.8956720160183637e+40,1.1732296104119875e+40,17105777113.371992,No,iso
6.834000907730536e+40,3.2666128351645326e+39,161470453239.2104,No,iso
2.974847579989662e+40,6.397426314387074e+39,2830595595.5592217,Yes,trip
5.671289533623207e+39,3.212807141930445e+39,24847951400.25944,No,iso
6.101339657078442e+40,5.478379882815427e+39,164505200211.83844,No,iso
1.817982808769187e+40,3.1807496816571166e+39,4735829449.384301,Yes,trip
6.241008503819945e+39,3.0208860471663357e+39,2242906372.2371716,Yes,iso
9.539707043716197e+40,2.7950348845376025e+39,491472955808.4323,No,iso
1.5349281445619767e+41,1.7727267130899329e+40,556043797534.0316,No,iso
2.22298574652364e+40,3.192584109722777e+39,11607793584.57999,Yes,iso
9.28785120824724e+40,1.8910879404215698e+40,8996969392.681,Yes,iso
1.1746954978024595e+41,4.9851751503988166e+39,22232177514.837063,No,trip
1.4504235495031487e+40,8.176685970702751e+39,1914157692.4845307,Yes,iso
8.78569298252081e+39,5.1611946150890194e+39,86773730000.99097,No,iso
6.622195714259447e+40,5.208278127226145e+39,29617236903.902813,No,iso
2.6558687891554516e+40,5.1151561479123456e+39,95162469542.66768,No,iso
1.3947650197986378e+40,5.721508180641689e+39,507483813581.32996,No,iso
4.00082753102811e+40,4.225625175358874e+39,3265584630.975839,Yes,iso
2.0369112546463847e+40,7.784229221365402e+39,8539938117.288952,Yes,iso
7.272157190743872e+40,2.1395007764127125e+40,24642823871.9159,No,iso
3.67409563636568e+40,2.999900414582122e+39,7610231407.508163,Yes,iso
9.295392478637528e+40,1.198683516313594e+40,19135715696.70052,No,iso
5.375146387397794e+40,4.830508496251906e+39,44737739314.13467,No,iso
2.6999357931364614e+39,2.173682219957013e+39,44620563712.35418,No,iso
1.0352017667029775e+40,2.7289569741328e+39,1900692341.2361388,Yes,iso
8.632495040210211e+39,2.8094593294376806e+39,1894831646.3605387,Yes,iso
2.3703596815140985e+40,2.1451976836700959e+40,708035123576.8412,No,iso
1.1289027574137842e+40,3.74126095841852e+39,246921542726.36154,No,iso
2.4567566552850965e+40,4.133096329671277e+39,247677591556.68893,No,iso
5.8156187159991584e+41,8.895620414577015e+39,6455477183.769153,Yes,iso
3.808652236138485e+40,2.560377099782681e+40,912152707517.1135,No,iso
1.7857587061913545e+40,1.1840698335422988e+40,5440388854.392749,Yes,iso
1.7200846915415377e+40,2.9562909708270396e+39,17794181094.35258,No,iso
2.657416585475256e+40,3.8698014885541293e+39,26122220321.843918,No,iso
1.3317657553584103e+40,3.45469268358752e+39,7429426879.811746,Yes,iso
7.920423999724861e+39,5.92348430259285e+39,186763140945.847,No,iso
1.0153939280336516e+40,1.0098212963931867e+40,2932719221.101048,Yes,iso
6.56274112934724e+40,3.2937840041362873e+40,3728155375.66436,Yes,iso
2.8405169358839814e+39,2.7928092212164237e+39,617031842620.5967,No,iso
1.0157300370884998e+40,3.8632487742075107e+39,42537143664.8819,No,iso
8.2579452774925e+40,5.635814493884618e+40,2563527683.0975723,Yes,iso
8.19320897886125e+39,5.944046268301205e+39,171616548465.25385,No,iso
8.510366002129268e+39,6.585251962684545e+39,4276007304.731985,Yes,iso
1.9114380726919954e+41,2.9381862729986667e+39,15533298192.302488,No,iso
8.367957442923876e+39,3.0406006791229727e+39,3747780993.10605,Yes,iso
3.3610340595642995e+41,6.640639345588506e+40,24724390578.099686,No,iso
2.1401278033889835e+41,1.0346481753185218e+40,6741411765.054539,Yes,iso
4.823899292988506e+40,6.524724088353496e+39,12780312981.629917,Yes,iso
1.5453898919498541e+40,6.763107317170136e+39,4478002480.300879,Yes,iso
3.799529276078323e+39,2.4396122690420042e+39,182510459166.47546,No,iso
2.450251956517742e+40,7.100967528438462e+39,1942949101.8178108,Yes,iso
1.9221681424345832e+41,4.3637123324305047e+39,11810918074.442772,Yes,iso
1.9079555309724346e+40,2.5118135780258884e+39,47061741262.051315,No,iso
3.79941629824476e+40,1.3499212932118863e+40,4536216256.63898,Yes,iso
5.241832543794175e+40,2.946038232431253e+39,30637922551.46387,No,iso
6.017594837950321e+40,4.3382640754205756e+39,6680478710.3838415,Yes,iso
2.1756282631401254e+40,2.3360426645695227e+39,84999283432.26555,No,iso
9.137590689609262e+40,6.564605263601018e+39,9830889582.726324,Yes,iso
1.2948502482418995e+40,5.390002972511248e+39,8790254186.01106,Yes,iso
2.828287085400853e+39,2.713343437534478e+39,17313071607.680325,No,iso
4.944757330441872e+39,3.990207614673245e+39,9255611707.80797,Yes,iso
2.263225626392724e+40,7.547342948843462e+39,38376346631.13579,No,iso
3.490760856952312e+39,2.6911150487810776e+39,1950496058.6576004,Yes,iso
2.8032116552416806e+41,2.392076845570629e+39,30991630284.65355,No,iso
7.963694509979257e+39,2.0637802079133598e+39,275068868981.828,No,iso
7.413520704988811e+40,4.508578159515877e+39,117268678772.33731,No,iso
2.8930798729488833e+41,1.1188364324433754e+40,18917940951.78611,No,iso
6.497213985881054e+40,8.431902896720189e+39,59806699131.57259,No,iso
1.0786022014659694e+40,3.309007767208819e+39,39064195536.33781,No,trip
7.578722542115415e+40,3.483021875353289e+39,50818139883.4911,No,iso
2.68474027452232e+41,9.670450641606271e+39,3250419777.144019,Yes,iso
7.752595427967932e+40,2.2447142083635263e+39,6961180771.911599,Yes,iso
6.520148486094219e+39,2.7117109078395013e+39,41937343313.54888,No,iso
2.502185042160533e+40,2.0409728077629527e+40,427406909454.1833,No,iso
1.4416818896312587e+41,3.7825543565855733e+40,4704203230.4635315,Yes,iso
6.660608177670659e+40,3.2626021220730676e+39,6871132786.4589405,Yes,iso
8.597697867472995e+39,2.312116783866848e+39,34395335419.494286,No,iso
4.5641914980869635e+39,2.042610986349607e+39,5070145123.866241,Yes,iso
6.413412677836152e+40,3.635993861996764e+40,6046529747.937851,Yes,iso
1.3326611046893922e+40,3.4921448354134523e+39,289079547779.63306,No,iso
2.900112743088142e+41,3.6929346901122084e+39,9716882678.102125,Yes,trip
1.3106106560238528e+40,2.0409163188461715e+39,2130633396.6235874,Yes,iso
2.068838790411116e+40,3.360073747979019e+39,62964022217.26294,No,trip
1.716763143234803e+41,1.2666029654054632e+40,14210595816.119732,No,iso
5.837225726667966e+39,3.115928649650696e+39,56022957323.47239,No,iso
2.732159895714294e+40,8.348497011092754e+39,11636971236.673426,Yes,iso
1.413753769174636e+40,2.909659370024164e+39,33039432141.763256,No,iso
1.940662613788746e+41,1.0706513864290161e+41,254496047428.72284,No,iso
2.564048879373459e+40,1.1546334590076182e+40,53647705204.34318,No,iso
5.848947176900064e+40,1.4129713976772165e+40,88768902750.52747,No,iso
2.386394060542441e+40,4.293637831163432e+39,7572705732.976303,Yes,iso
3.809471325431813e+40,1.262292861055058e+40,23625050972.003918,No,iso
1.0526879108925963e+41,1.3597192958275845e+40,6844240726.171181,Yes,iso
3.2683639915847494e+40,4.868836226287947e+39,919038401184.6783,No,trip
