M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape,Phi_DM,Phi_star,M_halo,M_star,rhalf,sigma,rbulge
2260508.0934258495,1628522.3615638416,0.7204231501316062,858586713.3087447,6.460270485794502,857200298.7665588,Yes,9223372036326575607,9223372036365264250,0.7362009780653566,1066.0811239009795,6.571686723824662,2.246821956694649,349197563747.0288,3940862748.301945,8.562010614585354,0.16377274460448726,1.6060364808877363
1614293.629885924,1077029.7860322823,0.6671833216045038,892421435.6897525,6.270490050511828,891102830.8441231,Yes,9223372036330308081,9223372036383756962,0.8515948237324896,1124.251109811506,8.035618626463581,1.7714968514907163,359098957004.87225,4549003455.891084,7.200725176918759,0.12454720729684951,2.437743440789448
6552913.151252799,1175374.1784828012,0.17936666507751456,3833599069.516818,1.7207976744353706,903275457.5081275,Yes,9223372036306477048,9223372036351439102,0.19223338099442316,3225.589960444895,11.516291854777844,69.21333713638792,681805140841.5406,19195953505.004585,9.539574805734476,4.561137640051339,0.28089385278232915
7037527.847831942,6261749.564103072,0.8897655113410506,165389448748.64447,0,974006437.5659779,No,9223372036312285311,9223372036346956171,0.6267825159222967,1620.4050297724832,8.742840822769615,11.630479070276317,488994348243.89496,9772740665.167393,9.012238516324201,0.8989929670603252,0.7255474226323936
11787893.580921214,3305567.254208966,0.28042052055500816,14842197171.986977,0,982239419.3248206,No,9223372036300488336,9223372036365264250,0.648387264393484,1295.7117525140955,8.654805996153128,4.3718047244299365,539252750406.2111,10112808228.189932,10.039600708936211,0.33893705248512235,1.9913997440681346
2594471.4782574573,1828860.6315359618,0.7049068170000821,1008202212.7464763,5.702359957675259,1007460760.9814786,Yes,9223372036405417417,9223372036501930090,0.15519796804703417,411.6241053520238,0.5871663761861841,0.727502068158057,7383764340.457591,1048137401.9119276,2.0262734706428422,0.0699060760352733,1.0007117919264896
6833994.503381248,1227516.373940033,0.17961916318965374,3200552099.09918,2.0805661751367377,1032879223.8072,Yes,9223372036315813145,9223372036570133338,0.6531753426251925,1214.9017386550636,7.492830423856787,3.959581128134722,443721021821.8917,8072821171.729382,9.542133967571244,0.29407678082139177,1.8321892056890343
4488824.036438685,1787665.4712588761,0.3982480615740872,22344880995.986614,0,1040344029.328463,No,9223372036324669802,9223372036469460192,0.7053857705099585,913.3220829533162,4.838891449386748,1.6334669244375044,223992971216.58246,3078908193.8564777,7.458816448836604,0.13367982523613464,1.5372220095259064
2894240.466002811,1231118.9979187632,0.42536859406815003,1059589971.4645202,5.4836448610804265,1051687754.1524984,Yes,9223372036463783623,9223372036474259192,0.8479378852307857,944.5935371837356,5.52669473644452,1.3964686154052766,369601556502.11334,2610590732.2330914,10.775804987132835,0.10932265677654626,1.5938018922973505
5387932.195040525,1418763.591995783,0.2633224659548842,203378285127.10687,0,1058813386.4475318,No,9223372036312969829,9223372036414685152,0.5457613184915688,1295.564786441394,7.368348432241931,5.6553073699495195,455332113408.73755,7586195556.954905,9.957252851245526,0.4037010043384966,1.2542090423765595
