BH1_ID1,BH1_ID2,BH2_ID1,BH2_ID2,M1_bin_1,M2_bin_1,M1_bin_2,M2_bin_2,t1,t2,tmerger
9.22337203709081e+18,9.223372037238493e+18,9.223372036720252e+18,9.223372037238493e+18,32865814.116407264,12537813.061870156,52768288.05172233,8204738.256013711,2055998677.743484,1988184838.4743712,1985633146.8332815
9.22337203650859e+18,9.223372036739678e+18,3.4025088817218365e+18,9.223372036739678e+18,10594043.351753647,2885123.8534906125,313274922.5745633,42117613.779877335,325572663676.466,7265511901.867787,5529691464.924878
9.223372036649465e+18,9.223372036820334e+18,9.223372036820334e+18,9.223372037717883e+18,16551621.825496439,6537747.197727833,72574057.73281921,46539454.854914084,52749516026.78829,10326169358.490093,3025313047.092299
9.223372036640333e+18,9.223372037107667e+18,9.223372037107667e+18,9.223372037118999e+18,12590041.879346587,3439987.5876053437,23869904.41784346,2216543.868600666,5883422237.79142,1284130162394.6812,1972738015.5000665
9.223372036798253e+18,9.223372037876247e+18,9.223372037499791e+18,9.223372037876247e+18,132518057.05348906,14082752.275074493,455139069.4894679,1002869.9773349192,12064974236.550056,7389759630.419426,4814316423.187959
9.223372036749056e+18,9.22337203758749e+18,9.22337203758749e+18,9.223372039885863e+18,2107130.3181232647,1700773.64577267,463679148.5624218,18192612.07769223,28764369517.422817,11646494817.445574,11258195759.098473
9.223372037034738e+18,9.22337203724231e+18,9.22337203724231e+18,9.223372038404387e+18,6305600.186280129,2841713.4415750485,59164969.161138356,3307455.8982340787,88357255903.53085,8067525192.230193,4452058693.398707
9.223372037153102e+18,9.223372037220762e+18,9.223372037220762e+18,9.223372040866472e+18,10961349.113810554,2726974.76696669,323523301.46872824,10953396.928441657,26178834240.50908,11533205259.373703,9469051166.070433
9.223372037174268e+18,9.223372037602933e+18,9.223372037597161e+18,9.223372037602933e+18,5010828.204582656,1061453.442940957,12663414.989705669,6693184.021027721,53034434886.26841,125439602102.44753,2713837401.659862
9.223372036625457e+18,9.223372037514936e+18,9.223372037514936e+18,9.22337203770375e+18,48818891.9895841,38101618.165274605,145807578.83801618,1856679.0799960825,32182378531.07224,9716882678.102125,4003124647.7295156
9.223372036760225e+18,9.223372036901644e+18,9.223372036901644e+18,9.223372040700064e+18,5525093.1923229685,2711397.0038422626,11342315.594304744,1564365.2660340685,230069631650.34174,9578265727.377035,9061243953.967264
9.223372036773912e+18,9.223372037023377e+18,9.223372037023377e+18,9.223372037857933e+18,3435699.0876385453,3009348.3492175834,8639893.19966452,2953299.6426978814,610958581944.6321,9900901225.899302,7812878223.865952
9.223372036709049e+18,9.223372036941787e+18,9.223372036398469e+18,9.223372036941787e+18,34335264.369931154,8094856.094612784,57801879.38692345,3972500.0007010694,13281936892.104729,2787924873.355367,2245667359.2201295
9.223372036733079e+18,9.223372037021022e+18,9.223372037021022e+18,9.223372037218077e+18,2264398.9841242023,1200305.6996473921,5793096.039585786,1683591.2452434478,3998863716.013753,2580618016.8375425,2391784451.798399
9.223372036969611e+18,9.223372037245002e+18,9.22337203691605e+18,9.223372037245002e+18,9140185.061685203,1599170.2773540053,34604928.65592282,2738576.4374066684,4735829449.384301,4484471793.834154,4471645600.860821
9.223372036940147e+18,9.223372037948537e+18,9.223372037948537e+18,9.223372041520822e+18,59059602.705000475,2506372.6246349,956751562.294626,10019128.750244483,22232177514.837063,6273048070.245177,5375134892.871096
9.223372036691949e+18,9.223372036691949e+18,9.223372036691949e+18,9.223372037300072e+18,11917343.798462033,10785307.610206615,64273396.2407932,1963607.5725457042,708035123576.8412,43848204701.11432,13315407543.765833
9.223372036698341e+18,9.223372036773217e+18,9.223372036773217e+18,9.223372037117915e+18,168981099.0228406,33386824.26138012,297803661.9327555,123480966.3949792,24724390578.099686,9020967448.709663,2742231683.8526163
9.223372036613356e+18,9.223372036903694e+18,9.223372036903694e+18,9.223372038529335e+18,5422836.6086775735,1663653.980497144,37011884.76311551,3543209.7937598187,39064195536.33781,4733901992.923573,4237084811.3983655
