Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Flag,GW-kick-random,GW-kick-aligned
1,154653959.03770313,42117613.77987732,313274922.5745633,5529691464.924878,Tr,792.6041036788938,188.8938105577394
5,9436960.778534828,1002869.9773349186,455139069.489468,11258195759.098473,Tr,25.395149063248553,6.203440463097089
6,1002869.9773349186,455139069.489468,9436960.778534828,4452058693.398707,Tr,18.42898059649627,3.27219607896161
8,31596671.049559377,6693184.02102772,12663414.989705669,2713837401.659862,Tr,630.4240938847948,121.30186249076937
9,31596671.049559377,6693184.02102772,12663414.989705669,4003124647.729515,Tr,325.54159204480203,110.96643073545813
10,31596671.049559377,12663414.989705669,6693184.02102772,9061243953.967264,Tr-ej,345.15435824090656,133.02485007240114
19,2738576.437406667,34604928.65592282,15652551.700050408,4901326366.047812,Tr,1915.7839474773725,215.41035164529663
20,15652551.700050408,2738576.437406667,34604928.65592282,6735213693.785275,Tr,1230.4468138301888,123.75645511468369
23,41607228.57865918,63741593.84424825,31537515.153181285,2625981237.3488517,Tr-ej,1092.116271049727,501.6722540585104
32,2842878.3513228106,2470758.194447058,6711885.856975645,2435937646.340942,Tr,609.2788773246457,133.58157192478933
34,2189919.687225278,17698014.548408918,1415551.4771199897,12635112732.314957,Tr-ej,161.23875438064712,67.6850611333514
41,122748851.56782924,44677507.4521111,15329257.331648966,3868546424.324359,Tr-ej,1293.8080319191372,232.78456252646907
44,9486102.774306474,8437155.073750718,2792296.289639766,4273044301.43931,Tr-ej,857.6851450415785,71.76666349070283
48,38788486.776549086,3916408.6931883176,26203728.820304334,13585321451.33535,Tr,1359.7741127161535,294.1193932769192
51,38788486.776549086,3916408.6931883176,26203728.820304334,3643375314.9052672,Tr,1199.700151837298,377.64697341004546
54,38788486.776549086,26203728.820304334,3916408.6931883176,9763071327.905125,Tr-ej,307.5050148138641,81.54088965362394
56,38788486.776549086,3916408.6931883176,26203728.820304334,10589803535.630213,Tr,228.8602354771248,172.53294724614378
57,38788486.776549086,26203728.820304334,3916408.6931883176,5319494757.459095,Tr,566.8344277295951,416.95556163509866
61,17810716.335588,3844810.624206222,17970092.890673295,7675303777.3147955,Tr,627.4087752847242,106.38284250160747
62,26309276.42650713,8316523.261770764,34133903.67612589,3965964409.5994873,Tr,953.3160229134602,155.72434847241388
