,Mass 1,Mass 2,Mass 3,t_merger,Flag
0,21507371.426361017,8204738.256013711,52768288.05172233,1985633146.8332815,No
1,154653959.03770313,42117613.77987732,313274922.5745633,5529691464.924878,Tr
2,154653959.03770313,42117613.77987732,313274922.5745633,3025313047.092299,No
3,154653959.03770313,42117613.77987732,313274922.5745633,1972738015.5000665,No
4,9436960.778534828,1002869.9773349186,455139069.489468,4814316423.187959,No
5,9436960.778534828,1002869.9773349186,455139069.489468,11258195759.098473,Tr
6,1002869.9773349186,455139069.489468,9436960.778534828,4452058693.398707,Tr
7,9436960.778534828,1002869.9773349186,455139069.489468,9469051166.070433,No
8,31596671.049559377,6693184.02102772,12663414.989705667,2713837401.659862,Tr
9,31596671.049559377,6693184.02102772,12663414.989705667,4003124647.729515,Tr
10,31596671.049559377,12663414.989705667,6693184.02102772,9061243953.967264,Tr-ej
11,31596671.049559377,6693184.02102772,12663414.989705667,7812878223.865952,No
12,16849816.24619572,3972500.00070107,57801879.38692345,2245667359.2201295,No
13,16849816.24619572,3972500.00070107,57801879.38692345,2391784451.798399,No
14,15652551.700050408,2738576.437406667,34604928.65592282,4471645600.860821,No
15,15652551.700050408,2738576.437406667,34604928.65592282,5375134892.871096,No
16,15652551.700050408,2738576.437406667,34604928.65592282,13315407543.765833,No
17,15652551.700050408,2738576.437406667,34604928.65592282,2742231683.8526163,No
18,15652551.700050408,2738576.437406667,34604928.65592282,4237084811.3983655,No
19,2738576.437406667,34604928.65592282,15652551.700050408,4901326366.047812,Tr
20,15652551.700050408,2738576.437406667,34604928.65592282,6735213693.785275,Tr
21,15652551.700050408,2738576.437406667,34604928.65592282,3355436935.8330975,No
22,41607228.57865918,31537515.153181285,63741593.84424825,5280246298.976051,No
23,41607228.57865918,63741593.84424825,31537515.153181285,2625981237.3488517,Tr-ej
24,41607228.57865918,31537515.153181285,63741593.84424825,4630285740.16217,No
25,77912691.14531209,3462977.923520062,166284456.1629238,6819266652.945832,No
26,44219686.803273655,3199504.981851312,18249555.405065924,3886208645.453495,No
27,42947363.86711635,1642197.280332136,507617812.79177624,3128887169.115718,No
28,42947363.86711635,1642197.280332136,507617812.79177624,9489597068.535557,No
29,42947363.86711635,1642197.280332136,507617812.79177624,9487553295.207611,No
30,42947363.86711635,1642197.280332136,507617812.79177624,5483816758.029468,No
31,42947363.86711635,1642197.280332136,507617812.79177624,11936032787.011566,No
32,2842878.3513228106,2470758.194447058,6711885.856975645,2435937646.340942,Tr
33,2842878.3513228106,2470758.194447058,6711885.856975645,7389555543.5357485,No
34,2189919.687225278,17698014.548408918,1415551.4771199897,12635112732.314957,Tr-ej
35,122748851.56782924,15329257.331648966,44677507.4521111,9390752006.60284,No
36,122748851.56782924,15329257.331648966,44677507.4521111,3571161096.2667356,No
37,122748851.56782924,15329257.331648966,44677507.4521111,4886843757.808992,No
38,122748851.56782924,15329257.331648966,44677507.4521111,9642333368.59122,No
39,122748851.56782924,15329257.331648966,44677507.4521111,2672691136.558998,No
40,122748851.56782924,15329257.331648966,44677507.4521111,9376092483.716244,No
41,122748851.56782924,44677507.4521111,15329257.331648966,3868546424.324359,Tr-ej
42,9486102.774306474,2792296.289639766,8437155.073750718,4886664235.77592,No
43,9486102.774306474,2792296.289639766,8437155.073750718,2723142254.427797,No
44,9486102.774306474,8437155.073750718,2792296.289639766,4273044301.43931,Tr-ej
45,9486102.774306474,2792296.289639766,8437155.073750718,3886204763.8541455,No
46,9486102.774306474,2792296.289639766,8437155.073750718,6806537207.286376,No
47,9486102.774306474,2792296.289639766,8437155.073750718,7335303757.627098,No
48,38788486.776549086,3916408.6931883176,26203728.820304334,13585321451.33535,Tr
49,38788486.776549086,3916408.6931883176,26203728.820304334,5698040842.25039,No
50,38788486.776549086,3916408.6931883176,26203728.820304334,2601773749.3182406,No
51,38788486.776549086,3916408.6931883176,26203728.820304334,3643375314.9052672,Tr
52,38788486.776549086,3916408.6931883176,26203728.820304334,5700406073.250354,No
53,38788486.776549086,3916408.6931883176,26203728.820304334,10724932402.099155,No
54,38788486.776549086,26203728.820304334,3916408.6931883176,9763071327.905125,Tr-ej
55,38788486.776549086,3916408.6931883176,26203728.820304334,9022377391.127531,No
56,38788486.776549086,3916408.6931883176,26203728.820304334,10589803535.630213,Tr
57,38788486.776549086,26203728.820304334,3916408.6931883176,5319494757.459095,Tr
58,26955129.57327381,7749930.054236912,40341578.379720464,3204049858.75085,No
59,26955129.57327381,7749930.054236912,40341578.379720464,4605878058.324924,No
60,91024828.22720982,14529778.695454584,68343637.11987661,2552167437.676985,No
61,17810716.335588,3844810.624206222,17970092.890673295,7675303777.3147955,Tr
62,26309276.42650713,8316523.261770764,34133903.67612589,3965964409.5994873,Tr
63,54981080.16978383,4031757.9820303614,188782040.59139207,4997948977.216171,No
64,15842792.49995853,7275752.600954445,14766640.216799565,8435405712.467721,No
65,4074969.589311702,22675798.582717605,8819110.918181704,2458516875.0387673,Tr
66,8819110.918181704,4074969.589311702,22675798.582717605,2489269415.5597744,Tr
67,8819110.918181704,4074969.589311702,22675798.582717605,10332788618.972227,No
68,793375458.7898293,137804130.27415264,25417740.49857504,2803094931.972179,Tr-ej
69,2208483256.520007,573730293.9024367,603715712.8755817,3244900278.769696,Tr
70,3310089.79175105,1459581.0234678455,81695356.35425328,2830686086.6660347,No
71,200274671.9130937,26720762.872592743,61373262.63741879,4692898953.165233,Tr
72,200274671.9130937,26720762.872592743,61373262.63741879,3312391552.788757,No
73,491106906.6030091,76452736.1464983,108543496.19605851,11583980136.161947,No
74,491106906.6030091,76452736.1464983,108543496.19605851,3258800998.317362,No
75,123912027.00796126,32160483.67484821,40706810.89344906,2843729421.143754,Tr
76,123912027.00796126,32160483.67484821,40706810.89344906,4613490985.720659,No
77,123912027.00796126,32160483.67484821,40706810.89344906,3269266997.3573513,Tr
78,123912027.00796126,32160483.67484821,40706810.89344906,8982603603.595745,No
79,70099994.35384236,16381075.849995643,38039846.72535549,7941796169.716408,No
80,16381075.849995643,38039846.72535549,70099994.35384236,7250247371.886483,Tr
81,70099994.35384236,38039846.72535549,16381075.849995643,5667640372.367363,Tr
82,70099994.35384236,16381075.849995643,38039846.72535549,5297407311.821891,Tr
83,70099994.35384236,16381075.849995643,38039846.72535549,3524500076.6493807,No
84,56246789.97153345,7177131.302049117,82086717.47705111,4128604485.612744,No
85,57283069.14767917,8766233.544712858,23168408.06565869,5159988658.487915,No
86,2368847152.1360784,121965223.06234342,154972472.47566894,2825873139.9345865,No
87,36456375.026796974,12154034.91583482,61513561.907855734,5314173227.343169,No
88,12154034.91583482,61513561.907855734,36456375.026796974,3718694469.178123,Tr
89,4614322.133632722,3441208.8160727094,10504410.862381373,4972323091.102176,No
90,4614322.133632722,10504410.862381373,3441208.8160727094,2845540148.018595,Tr
91,4614322.133632722,3441208.8160727094,10504410.862381373,6876554302.748765,No
92,4614322.133632722,10504410.862381373,3441208.8160727094,7033961696.901526,Tr
93,38250311.98493745,5066095.892896483,84397679.3465764,8835430637.727884,Tr
94,38250311.98493745,5066095.892896483,84397679.3465764,5621232323.115467,No
95,38250311.98493745,5066095.892896483,84397679.3465764,3244900278.769696,Tr
96,5066095.892896483,84397679.3465764,38250311.98493745,3795389658.3582625,Tr
97,28685218.3907982,2403718.4317210587,53993208.60515266,3100287470.930618,No
98,1755971895.895148,142808468.927461,628817638.0123636,7071646302.65044,No
99,1755971895.895148,142808468.927461,628817638.0123636,2924665946.5622396,No
100,263868134.50678045,46915337.616904564,111874893.85238534,9127501173.96734,Tr
101,3790658.6445357744,1200791.3509681355,16787915.333600786,12444238246.123549,No
102,3790658.6445357744,1200791.3509681355,16787915.333600786,10803399042.711395,No
103,3790658.6445357744,1200791.3509681355,16787915.333600786,8902794584.202904,No
104,3790658.6445357744,1200791.3509681355,16787915.333600786,2882409552.836178,No
105,47636886.71438938,17514404.26837351,23848887.92793995,8420761806.400688,Tr
106,6817887.857848023,4305923.772954073,346682621.32253677,5510660226.320722,Tr
107,227068515.64311495,9191874.266583009,91395176.46127455,11074769338.306396,No
108,227068515.64311495,9191874.266583009,91395176.46127455,8474406213.042637,No
109,227068515.64311495,9191874.266583009,91395176.46127455,5353336704.841222,No
110,227068515.64311495,9191874.266583009,91395176.46127455,5064779598.508937,No
111,227068515.64311495,9191874.266583009,91395176.46127455,4668921959.353468,No
112,227068515.64311495,9191874.266583009,91395176.46127455,7996016995.88332,No
113,227068515.64311495,9191874.266583009,91395176.46127455,3442830619.6667023,No
114,227068515.64311495,9191874.266583009,91395176.46127455,4440362796.060466,Tr
115,227068515.64311495,9191874.266583009,91395176.46127455,5263846972.838826,Tr
116,426603289.67265767,147010346.87506172,148146373.35633257,4134457009.536102,No
117,12922740.288898066,4350186.20473059,12151564.058238056,3050204504.674799,No
118,215897673.67164135,60171204.616924025,1419067479.0795228,11823596992.89499,No
119,215897673.67164135,60171204.616924025,1419067479.0795228,6032543417.964211,No
120,215897673.67164135,60171204.616924025,1419067479.0795228,4128290316.322923,No
121,215897673.67164135,60171204.616924025,1419067479.0795228,12579607352.8481,Tr
122,215897673.67164135,1419067479.0795228,60171204.616924025,8951689705.855415,Tr
123,215897673.67164135,60171204.616924025,1419067479.0795228,3375828646.824424,Tr
124,215897673.67164135,60171204.616924025,1419067479.0795228,9412874591.71148,No
125,12847535.029120332,8239216.65972028,17468537.1991922,4127913110.07132,No
126,437098060.6894097,16871271.276663993,61499219.57352967,5699568694.844237,No
127,19734878.51564796,11942052.374429677,14307827.521676287,2931047075.058879,No
128,19734878.51564796,11942052.374429677,14307827.521676287,3075626969.502947,No
129,133628064.47840716,5666088.278979693,2710118974.0508327,3712352639.009656,Tr
130,133628064.47840716,5666088.278979693,2710118974.0508327,3105939924.4162946,No
131,101652647.77963406,66349058.62538525,57923150.21379912,6362001459.017682,Tr
132,101652647.77963406,57923150.21379912,66349058.62538525,12458881487.044895,No
133,101652647.77963406,57923150.21379912,66349058.62538525,5399589472.385801,No
134,9849876.36167753,4418475.596585985,29769431.938393313,7714402487.543819,No
135,16789357.160008434,11605319.92504997,26025088.656124488,4132246380.086331,No
136,11605319.92504997,26025088.656124488,16789357.160008434,4153633101.178341,Tr
137,680254964.1905458,13732075.100637127,113176496.1933014,4421397721.806871,Tr
138,680254964.1905458,113176496.1933014,13732075.100637127,7550925570.41546,Tr-ej
139,4185632788.551631,40005882.554504685,148133593.05841827,12247963127.456425,No
140,207942863.79656577,10814432.489120184,82694491.64453103,5077751102.657615,No
141,207942863.79656577,10814432.489120184,82694491.64453103,5703018926.28523,No
142,207942863.79656577,10814432.489120184,82694491.64453103,9238567565.954887,No
143,8879994.711303208,8657501.610124221,67265121.97922006,3383098738.721097,No
144,8879994.711303208,8657501.610124221,67265121.97922006,3510283102.5314584,No
145,8879994.711303208,8657501.610124221,67265121.97922006,6848816900.706517,No
146,60020864.971317045,33880143.76087201,88204930.09524561,5126532307.024553,Tr
147,60020864.971317045,33880143.76087201,88204930.09524561,13364775537.961197,No
148,71126513.39173533,40646601.489941694,372410781.0571191,10573843001.125685,No
149,71126513.39173533,40646601.489941694,372410781.0571191,8903350580.327175,No
150,71126513.39173533,40646601.489941694,372410781.0571191,7782176635.771799,Tr
151,40976415.06348799,11066346.361342013,204170939.31330773,9497768628.10286,Tr
152,40976415.06348799,11066346.361342013,204170939.31330773,8447339983.280018,No
153,40976415.06348799,11066346.361342013,204170939.31330773,6624462056.524332,No
154,573151657.658643,20486533.549998414,1213857075.535852,11745174309.82913,No
155,573151657.658643,20486533.549998414,1213857075.535852,5380957992.856064,No
156,573151657.658643,20486533.549998414,1213857075.535852,7354960145.22243,No
157,573151657.658643,20486533.549998414,1213857075.535852,10086368243.923565,No
158,573151657.658643,20486533.549998414,1213857075.535852,10997645701.749945,No
159,573151657.658643,20486533.549998414,1213857075.535852,10857962117.304264,No
160,31596907.8524639,10200296.573345158,47568694.8469455,4375799070.480264,No
161,31596907.8524639,10200296.573345158,47568694.8469455,9464274450.097054,Tr
162,31596907.8524639,10200296.573345158,47568694.8469455,6592240527.849415,No
163,31596907.8524639,10200296.573345158,47568694.8469455,3909034754.1667466,No
164,31596907.8524639,10200296.573345158,47568694.8469455,3473400297.5731716,Tr
165,6905676.40192971,3842055.75998914,7218766.672587696,3733098573.1986504,No
166,6905676.40192971,3842055.75998914,7218766.672587696,11502975168.028164,No
167,6905676.40192971,3842055.75998914,7218766.672587696,10656352646.36556,No
168,16095563.264248887,6968059.828502226,26097652.347615663,6085631745.7959,No
169,3413668811.0666666,96029312.48499858,786297888.9454379,3639563537.240707,No
170,5740772.308441472,18124166.48219566,3295527.620180735,10401486695.74594,Tr-ej
171,7888590.5378805185,12197771.93536375,6336698.911204918,5433662556.973107,Tr-ej
172,7888590.5378805185,12197771.93536375,6336698.911204918,8866067835.773878,Tr-ej
173,12034824.328792134,5442063.856873082,7718859.729974154,6701418943.790066,No
174,231706360.67314097,13576922.283957608,91159734.97303115,9499577692.940376,No
175,45950891.45698072,57079082.538214855,31224539.857591152,3897705719.788806,Tr-ej
176,45950891.45698072,31224539.857591152,57079082.538214855,9111056369.839828,No
177,22065415.837039076,8456325.520622164,194523234.4211148,10802394179.20118,No
178,16124131.121448178,98160924.17379344,13840650.831584653,4724876962.589499,Tr-ej
179,17216665.05318165,13609710.848273298,76247541.36331876,10559667692.552376,No
180,17216665.05318165,13609710.848273298,76247541.36331876,10549175069.556557,No
181,13609710.848273298,76247541.36331876,17216665.05318165,4719289670.895033,Tr
182,5956213.552819271,3904778.6220863084,8247893.061970987,3394303921.7701364,Tr
183,5956213.552819271,3904778.6220863084,8247893.061970987,8346101408.284775,Tr
184,5956213.552819271,3904778.6220863084,8247893.061970987,4576896804.050213,No
185,5956213.552819271,3904778.6220863084,8247893.061970987,10187913297.480389,Tr
186,151773484.40898797,37871430.79950708,99213026.69876042,5595569660.857211,Tr
187,151773484.40898797,37871430.79950708,99213026.69876042,11371685047.19327,No
188,151773484.40898797,37871430.79950708,99213026.69876042,8628762346.55714,No
189,17093248.76434597,5120241.755060057,21571580.842922308,6665559020.367677,Tr
190,17093248.76434597,5120241.755060057,21571580.842922308,7232881771.715838,No
191,17093248.76434597,5120241.755060057,21571580.842922308,4377962415.703656,No
192,17093248.76434597,5120241.755060057,21571580.842922308,11837809783.864286,Tr
193,17093248.76434597,5120241.755060057,21571580.842922308,7827461493.951583,No
194,207614203.0078588,22071432.4946815,21942635.4923674,6785098363.539475,Tr-ej
195,207614203.0078588,21942635.4923674,22071432.4946815,8903741234.148092,No
196,110430256.53033058,71478644.19825377,471913920.5185341,8991860297.444454,No
197,71478644.19825377,471913920.5185341,110430256.53033058,8769245650.696205,Tr
198,2755588.4339637,4513518.412075311,4568473.639018658,3600793555.570088,Tr
199,4568473.639018658,2755588.4339637,4513518.412075311,3580806493.8256793,No
200,7581642141.9745,127238657.98840225,164674138.62572202,4407056208.4949045,Tr
201,7581642141.9745,127238657.98840225,164674138.62572202,7289513131.115853,No
202,7581642141.9745,127238657.98840225,164674138.62572202,8892858775.763065,No
203,4086356.832570336,3477476.461487282,815476729.1168807,7363325783.41847,Tr
204,4086356.832570336,3477476.461487282,815476729.1168807,8798224455.10179,No
205,4086356.832570336,3477476.461487282,815476729.1168807,5643232280.537422,No
206,20025960.51280752,9981710.878017623,12032323.87869766,11980229022.512735,No
207,20025960.51280752,9981710.878017623,12032323.87869766,13129117557.147318,Tr
208,20025960.51280752,9981710.878017623,12032323.87869766,7464629045.397588,No
209,20025960.51280752,9981710.878017623,12032323.87869766,8673980750.48691,No
210,20025960.51280752,12032323.87869766,9981710.878017623,5232152142.9013815,Tr-ej
211,20025960.51280752,9981710.878017623,12032323.87869766,10367044521.849283,No
212,20025960.51280752,9981710.878017623,12032323.87869766,7072992801.965215,No
213,40991948.08586112,16533587.405106261,134242971.26198876,12790495309.788685,No
214,28186373.55037191,9779313.5600482,16006471.11779657,4431050114.26107,Tr
215,28186373.55037191,9779313.5600482,16006471.11779657,5961686211.645894,No
216,49629538.70264744,6274970.07227886,19947914.994565897,5504114948.557439,No
217,49629538.70264744,6274970.07227886,19947914.994565897,13228119070.578417,No
218,23312092.168116774,6756574.298682636,21192147.99817783,4923306175.753876,Tr
219,23312092.168116774,21192147.99817783,6756574.298682636,7506490287.424355,Tr
220,48111234.31093969,3937879.593684337,100500002.6987302,6914839918.285015,No
221,48111234.31093969,3937879.593684337,100500002.6987302,13483296364.87399,No
222,185406858.54046515,35992300.996174894,65849774.98686671,8393502891.181776,No
223,17148153.044327695,3787057.877964612,54952156.95865545,5541240307.329563,No
224,17148153.044327695,54952156.95865545,3787057.877964612,13111933265.585669,Tr-ej
225,27724900.594517138,21583367.117665496,50613529.82337179,8594415208.628765,No
226,99185992.71821225,3788648.315038393,300771531.1150757,9011729777.013622,No
227,7282714.716329088,1892776.3214384643,136995847.43272838,8046160112.563302,No
228,7282714.716329088,1892776.3214384643,136995847.43272838,12410234034.423536,Tr
229,9310933.268935269,7052494.996722685,29012412.29193643,11457055567.17948,No
230,9310933.268935269,7052494.996722685,29012412.29193643,7364045912.500279,No
231,7052494.996722685,29012412.29193643,9310933.268935269,5249179829.8099,Tr
232,9310933.268935269,7052494.996722685,29012412.29193643,8763608389.472456,No
233,9310933.268935269,7052494.996722685,29012412.29193643,8912303790.478783,No
234,9310933.268935269,7052494.996722685,29012412.29193643,11708071326.934282,No
235,2722010721.8092003,2446447227.747861,2808186460.046541,9777297179.692137,No
236,2722010721.8092003,2808186460.046541,2446447227.747861,5558492063.479108,Tr-ej
237,241018999.135634,13606203.366512377,72688938.41073774,8148492300.59129,Tr
238,241018999.135634,13606203.366512377,72688938.41073774,9750508440.031784,Tr
239,28198239.412041135,5743338.079706119,11335414.233431019,4421483694.442963,No
240,3993160.990579489,2466143.086866895,10006575.65762644,8017135163.902667,No
241,26284030.841036633,8185099.198218738,17447236.70266837,10839162108.460869,No
242,13985684.381910738,7161411.5356145315,11374408.342400648,5689481743.631447,No
243,8995999.650819143,1635707.7290578792,420281516.94477254,7338289927.131163,No
244,19684163.87538701,4138615.472924904,12192333.208584668,11014002161.808533,No
245,19684163.87538701,4138615.472924904,12192333.208584668,5386556865.323103,No
246,19684163.87538701,4138615.472924904,12192333.208584668,9735852038.503967,No
247,106029094.46944334,15165669.518345956,23420605.94450083,5277689560.291824,No
248,4410301.518168851,3104135.558748623,10492922.79458952,10901744703.058985,No
249,4410301.518168851,3104135.558748623,10492922.79458952,12469840662.985971,No
250,322894106.5948291,59112143.92975923,416052658.3682415,7568816599.155553,No
251,995631491.1251464,9875634.405328872,997154344.1010252,13511619356.126858,No
252,995631491.1251464,9875634.405328872,997154344.1010252,4422972307.597783,No
253,335721070.7301129,1236543.5243668086,2386266224.902536,4178172656.8386807,No
254,335721070.7301129,1236543.5243668086,2386266224.902536,4708120521.945219,No
255,335721070.7301129,1236543.5243668086,2386266224.902536,6101948310.067214,No
256,335721070.7301129,1236543.5243668086,2386266224.902536,4459775738.581624,No
257,335721070.7301129,1236543.5243668086,2386266224.902536,8543687148.988687,Tr
258,52226374.20092477,3911679.9829600267,96432743.88916013,6384571589.979288,Tr
