Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Slingshot_kick,Flag
0,21507371.426361017,8204738.256013711,52768288.05172233,1985633146.8332815,531.7030592649767,No
2,154653959.03770313,42117613.77987732,313274922.5745633,3025313047.092299,790.1432765549989,No
3,154653959.03770313,42117613.77987732,313274922.5745633,1972738015.5000665,1531.8507731796742,No
4,9436960.778534828,1002869.9773349186,455139069.489468,4814316423.187959,7944.940024441576,No
7,9436960.778534828,1002869.9773349186,455139069.489468,9469051166.070433,7085.550739415852,No
10,31596671.049559377,12663414.989705669,6693184.02102772,9061243953.967264,1808.691639963317,Tr-ej
11,31596671.049559377,6693184.02102772,12663414.989705669,7812878223.865952,2060.929171597267,No
12,16849816.24619572,3972500.00070107,57801879.38692345,2245667359.2201295,4098.140932934239,No
13,16849816.24619572,3972500.00070107,57801879.38692345,2391784451.798399,2822.105775781312,No
14,15652551.700050408,2738576.437406667,34604928.65592282,4471645600.860821,4499.066503799199,No
15,15652551.700050408,2738576.437406667,34604928.65592282,5375134892.871096,16986.773907011255,No
16,15652551.700050408,2738576.437406667,34604928.65592282,13315407543.765833,2620.4954789023286,No
17,15652551.700050408,2738576.437406667,34604928.65592282,2742231683.8526163,3736.5578534248075,No
18,15652551.700050408,2738576.437406667,34604928.65592282,4237084811.3983655,8731.229411303531,No
21,15652551.700050408,2738576.437406667,34604928.65592282,3355436935.8330975,3692.147301184018,No
22,41607228.57865918,31537515.153181285,63741593.84424825,5280246298.976051,646.2136864305742,No
23,41607228.57865918,63741593.84424825,31537515.153181285,2625981237.3488517,1649.882034732703,Tr-ej
24,41607228.57865918,31537515.153181285,63741593.84424825,4630285740.16217,344.772478301343,No
25,77912691.14531209,3462977.923520062,166284456.1629238,6819266652.945832,1258.2728634857835,No
26,44219686.803273655,3199504.981851312,18249555.405065924,3886208645.453495,762.3898095647183,No
27,42947363.86711635,1642197.280332136,507617812.79177624,3128887169.115718,6239.388521500434,No
28,42947363.86711635,1642197.280332136,507617812.79177624,9489597068.535557,31196.000220268903,No
29,42947363.86711635,1642197.280332136,507617812.79177624,9487553295.207611,9856.220285918978,No
30,42947363.86711635,1642197.280332136,507617812.79177624,5483816758.029468,9418.12049710508,No
31,42947363.86711635,1642197.280332136,507617812.79177624,11936032787.011566,8295.20328575234,No
33,2842878.3513228106,2470758.194447058,6711885.856975645,7389555543.5357485,1517.8499489327867,No
34,2189919.687225278,17698014.548408918,1415551.4771199897,12635112732.314957,12446.550874639617,Tr-ej
35,122748851.56782924,15329257.331648966,44677507.4521111,9390752006.60284,4715.223885696088,No
36,122748851.56782924,15329257.331648966,44677507.4521111,3571161096.2667356,2309.6928689474753,No
37,122748851.56782924,15329257.331648966,44677507.4521111,4886843757.808992,2973.014929022438,No
38,122748851.56782924,15329257.331648966,44677507.4521111,9642333368.59122,2031.357414334645,No
39,122748851.56782924,15329257.331648966,44677507.4521111,2672691136.558998,4740.399599822996,No
