M1,M2,M3,qin,qout,gw_kick_random,gw_kick_5deg,gw_kick_hybrid,t_triple_form,z_merger,a_2nd_ovtks,bin_merger_flag,strong_key,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
39123695.42418127,18463474.95778198,6650000.814408412,0.4719256388641197,0.1154771239896038,372.0526383355328,345.3500519076666,105.3939703623872,1496718152.1029062,0.0,471.87645174386034,No,False,7485090281198742830,9223372036486510624,9223372036486510624,9223372036599118495,0.6662419765351797,1604.0910688489614
31503026.057892684,6011976.433115665,3975624.073524564,0.1908380617807171,0.1059742452230263,115.9254327895213,123.59191263851238,88.41390571946778,1377548902.3433328,1.180099827821318,453.8539856844464,Yes,False,9223372036605218289,9223372036813088478,9223372036454186084,9223372036813088478,0.6507773656240812,1408.3774411317224
54943139.6927825,28506951.565103825,2885805.469379375,0.51884460415808,0.034581214063162,1149.8270622994226,369.2495981406437,213.33469931999613,2806228787.0021014,0.0,988.3353020237122,No,False,9223372036843855543,9223372036897966438,9223372036897966438,9223372038052823196,0.8519709558348478,1134.6214159434005
231693008.7618393,70447434.26316777,17919823.71887706,0.3040550711462413,0.0593095831179207,780.5340773362902,251.47399616290903,243.42182077431363,1837549670.5419,1.645235947779111,800.8874370329886,Yes,False,9223372036331263577,9223372036581589630,9223372036536320012,9223372036581589630,0.7090375849622483,1886.9494665279483
19614723.69120593,3186463.8143819473,5226815.239334282,0.1624526485586216,0.2292343430820587,489.1805396982413,119.17781968265543,156.60541044936204,1480912285.7596655,1.5429426106980586,935.8116414984204,Yes,False,9223372036480012739,9223372036927653932,9223372036667069544,9223372036927653932,0.7087843982816324,1471.8138235998863
36211253.81443973,9507989.920996774,24563732.591279656,0.262570027807359,0.5372733795296917,508.10952974629697,103.55390769508,124.78373676247386,2109562492.6708105,0.9777400191753808,155.4530755241125,Yes,False,9223372036767023017,9223372037070236710,9223372037070236710,9223372037783635507,0.6884568488980157,1227.3937749562565
14361959.69833084,6419514.726867569,5505482.53519003,0.4469804164409158,0.2649226143701527,1150.9858768780628,225.4213217588659,448.3251802600312,2044238060.632304,0.0,953.4106329348284,No,False,9223372036614189978,9223372037071147552,9223372036732277958,9223372037071147552,0.718404199496806,1179.1183392212797
61115662.04721087,4766915.704302534,1483082.5712991368,0.077998266641048,0.0225109979286605,63.10943412338612,43.624695679954016,34.653949678550326,1993559087.4807851,0.7260160521008336,1219.1939137711468,Yes,False,9223372037088418174,9223372037786592201,9223372037505950721,9223372037786592201,0.5814928039382135,1723.7569775807804
387970628.53760886,12485806.275885113,6435050.403820946,0.0321823492746043,0.0160692895516036,42.997702346056286,10.322250317536081,41.68044179720782,2264583255.7451625,0.6723067862649332,1069.753994060018,Yes,False,9223372036404741271,9223372037334470061,9223372037334470061,9223372037783868568,0.3634408695251765,2235.1096321384366
23055889.713508222,4353163.2034245115,15535730.144619953,0.1888091614557834,0.5668101773418921,524.9129389052742,106.16586425862155,94.1559210447461,2348316914.115502,0.0,701.398713668234,No,False,9223372036518646144,9223372036821165568,9223372036821165568,9223372038204852619,0.6594036519421003,1345.62311798948
68701907.15572555,2217670.0104327714,4192903.338398637,0.0322795989550335,0.0591219449683834,31.329905246808746,15.225515855450457,7.5089197615167675,2057215279.4552305,0.9615706677075292,816.9839968551872,Yes,False,9223372036556639083,9223372037218867007,9223372037218867007,9223372037259970603,0.351718807711643,1751.4297610150145
59532129.87922388,8524234.54420134,28279533.208206553,0.1431871253639828,0.4155310594062918,314.30679147718274,60.62601968786557,298.53919548239196,3818081037.4327497,1.2877759747993998,737.3849261201049,Yes,False,9223372036791909624,9223372036880646214,9223372036880646214,9223372037095990783,0.5838721201360704,1166.940551708276
4903109.519293894,2580550.1280641383,3209686.6191897034,0.5263088898809195,0.4288926501785558,542.9702467839696,144.87191009317584,101.81914601850197,2119383270.4715304,0.0,554.5492535026942,No,False,9223372036658355516,9223372037191146216,9223372036651410843,9223372037191146216,0.8222272405958289,954.2600291274714
12869530.204631977,10870157.177795812,10542070.140235504,0.8446428894415622,0.4440694593155757,538.6625947640684,117.13213105915163,762.4999864991221,2543442511.0989695,0.0,821.208933795242,No,False,9223372037161378641,9223372037573117040,9223372037573117040,9223372038470534195,0.8437143957724007,1021.2664974880116
67523513.27987534,3261302.7449422143,3656116.625667128,0.0482987715912319,0.0516511425894682,25.05113506295841,27.042710747748547,13.97393557136809,12722765013.670914,0.0,524.8261311635989,No,False,7423367998543687835,9223372036831798112,9223372036725982532,9223372036831798112,0.645757648752218,2305.0632898350623
20043232.874562625,18645568.978218865,1265165.7115624517,0.930267541913482,0.0327010827674802,1998.033942884709,112.93715617198674,591.8045879683967,2528933506.4828467,0.0,950.1109332728408,No,False,9223372037060362009,9223372037228161606,9223372037228161606,9223372038572784434,0.8302558680755332,1060.429612228123
72698984.3272037,22525027.3858842,68161588.87625293,0.3098396434880509,0.71580253394097,239.3145050163173,145.26739038812093,183.0383776471149,3060149229.665838,0.0,497.4790212336704,No,False,9223372036505115226,9223372037301848636,9223372037301848636,9223372037857933032,0.7709269788083484,1046.482132191891
93897470.93818492,4314574.427265703,10071953.98162358,0.0459498470422711,0.1025531434982895,26.732293741716322,12.101419519909358,12.985366873047099,2183247280.8889613,1.3010992074660304,920.3563123540732,Yes,False,5988422340519404043,9223372036338144693,9223372036338144693,9223372036469045029,0.3259904594174608,1632.5292590488884
90400772.91965003,6816681.261447913,1766180.370431841,0.0754051214529627,0.018167317641766,64.5155831467514,34.058644374074305,79.2989582286742,12005401537.748829,0.0,173.63345640821905,No,False,9223372036915824722,9223372037041064142,9223372037041064142,9223372039208106662,0.7518582718323545,1485.6822699980498
219552232.59773985,105618307.26883122,59124498.21774308,0.4810623240727569,0.1818261218928502,723.5085065433592,161.79873754596366,352.6683331926066,4119360951.8443313,0.0,1075.1605086271634,No,False,9223372037078597886,9223372037454018592,9223372037454018592,9223372046504657920,0.6508275462504887,797.9254451744744
48790858.91594844,11870399.124333814,25019563.216889597,0.2432914563931502,0.4124471536722053,239.57003091925597,160.6663559876284,208.33720387524315,2113561168.9767296,0.0,606.0272484492916,No,False,9223372036915977391,9223372036961773314,9223372036961773314,9223372037362180146,0.8068242462120944,975.0140011272624
936770242.596996,3217828.93337655,1645662.1611000162,0.0034350247126294,0.0017507266431804,0.15864768750101763,0.25921420252458904,0.4168338935975165,2316459996.632673,0.0617277600111861,1542.195989890147,Yes,False,9223372036665946237,9223372037259344814,5014088146715952768,9223372037259344814,0.0895482430257923,4032.5946747558182
2318647.070198224,1969526.288985992,3737683.3270223783,0.8494290978133273,0.8716259847604289,336.22636274951117,501.7091512120138,181.586738222453,2074715840.725665,0.0,854.3262822204387,No,False,9223372037085637908,9223372037695447339,9223372037384252996,9223372037695447339,0.8877733005574705,884.3280984132482
3710409.009936681,3397453.0774169452,1462875.5002635312,0.9156545998886856,0.205810900983334,646.1035709640381,333.0957361577227,140.00901648823788,1993286787.5673225,0.0,773.5651684156492,No,False,9039377753535071635,9223372037622439415,9223372037443822624,9223372037622439415,0.7300919723299838,902.2752864364844
465343926.704427,3832169.994244282,18359039.95719841,0.0082351348633338,0.0391303821451703,1.4166212734786485,1.3051839265420475,1.5025479386332286,2250826402.386726,1.3233576912922853,621.0387307354691,Yes,False,9223372036492252208,9223372037586093343,9223372036901409219,9223372037586093343,0.0219411236740023,3134.4651562614335
30634887.01638919,2360292.115572799,16560000.020795813,0.0770458893584324,0.5018915022271955,63.474350070910994,38.73246758795442,28.414223550189174,1906733535.5232248,0.4873159950465517,391.54678476007774,Yes,False,9223372037306123149,9223372037393915510,9223372036637360035,9223372037393915510,0.7475095056382747,1746.463807690791
24544616.756259203,1115097.382826535,1960242.0940949393,0.0454314440473865,0.0763937619674816,37.96013060803229,25.247637800430347,17.522704947417143,1883226858.1492271,0.0,1607.4917129188314,No,False,9223372037548760927,9223372038714350338,9223372037124852183,9223372038714350338,0.5048218373858933,1436.28563378762
11321343.478429476,5645922.035901946,7745016.739705415,0.498697177296944,0.4564681759216638,1406.3655497575458,209.67261688882425,447.4114076668101,1858282467.203506,1.8339279405035127,701.0533860662373,Yes,False,9223372036673281876,9223372036715011264,9223372036715011264,9223372037063104533,0.6602861066627516,1370.277319113656
81173731.07285453,2165739.6064180275,1808227.5505698791,0.026680301346186,0.0216971326531307,15.56635711670307,8.342783014268475,6.776148060331057,2133985458.478924,0.1580780593608948,1649.831194192222,Yes,False,9223372036383753436,9223372036616649233,9223372036616649233,9223372037454142661,0.1987673427760172,1871.568567576462
579436746.9614253,143040594.29931617,45964199.445460536,0.2468614478619506,0.0636202643604736,784.729719822446,274.5901508011297,208.63140587616795,2022931681.71983,1.5910581161527444,770.3887504423743,Yes,False,9223372036656568482,9223372037189780826,9223372037189780826,9223372038435191956,0.0138604390330599,2985.3019866377213
7909962.544468025,7176753.133429609,34743097.8767074,0.907305577375812,2.3028933943261616,334.8213218875937,368.3552008863527,332.4635349874674,2264562482.647032,0.0,231.05859005376536,No,False,9223372036948746444,9223372037401054011,9223372037269289059,9223372037401054011,0.6952519873814494,1055.9549391417922
51105638.04373655,2483003.1307735243,5274570.952540707,0.0485856986786576,0.0984270329856694,32.490473501080935,17.10778091994587,36.53033747375969,2300246507.7998333,0.0,373.8076099358396,No,False,9223372036352285964,9223372037299726451,9223372037299726451,9223372038020727591,0.4346933497594439,1597.5367084204245
19056482.407923304,2926624.027839382,5986717.552987391,0.1535762983530764,0.2723326464565556,130.06012652847272,83.55719598174623,89.8927905003087,2296569084.2200785,2.1937716938484413,177.7411247413643,Yes,False,9223372036980677662,9223372037691890912,9223372036986833802,9223372037691890912,0.7223133413467931,902.3985910045084
116600264.25274986,27379731.983521774,8456282.919629116,0.2348170663161774,0.058732345747199,269.8497956072992,117.70202906192158,109.90119231822993,2341230894.613564,2.2343230959465132,473.8360774517978,Yes,False,9223372036916266557,9223372037596981404,9223372036978594957,9223372037596981404,0.5374745875762091,1263.7899908668533
37357374.15734927,4160701.6470373455,28334914.49916851,0.1113756451273172,0.6824717656152737,425.99758815567634,90.0884798481815,77.582489456105,1912616248.943304,2.111395992340421,557.6602575599616,Yes,False,9223372036968230575,9223372037260823497,9223372036708680581,9223372037260823497,0.3792609872438553,2140.152561059359
64179375.11517224,13011210.230911529,63262190.66915195,0.2027319556720899,0.8195583747100259,271.96563023818146,169.8466322304823,257.48541744350985,2739405164.436083,0.3398270944061273,1049.3155554991756,Yes,False,9223372037332267236,9223372038180717032,9223372038180717032,9223372039520780044,0.7650172056348602,1099.0505708789335
2404074.9926430765,1445194.5355021337,3649698.076047947,0.6011436997284618,0.9481534221913978,914.6091865580013,327.8107338119404,111.99775249387879,2318139966.9039545,0.0,166.83966763912576,No,False,9223372037745092160,9223372038039847771,9223372037846303319,9223372038039847771,0.9047204768198572,937.850518526178
228674126.9910217,11352648.1373983,1470614.680667189,0.0496455295873679,0.0061268776363819,38.426630389364036,29.104236811452274,24.388829519542693,2260650736.7091503,1.4826939650376572,640.5620259956135,Yes,False,9223372036835206812,9223372037885907152,9223372037739474642,9223372037885907152,0.3376729735071884,2479.170512780726
36940176.35133633,16617508.101559114,14872290.679557756,0.4498491816473953,0.2776873352812349,985.855577893191,167.00579458920245,320.68276842721923,2344708163.3142943,1.4548034311324791,413.9186281242317,Yes,False,9223372036858496934,9223372037348250917,9223372036545916238,9223372037348250917,0.6079100102779984,1395.0581890184449
9878321.352883166,5111832.074106446,9875648.605659973,0.5174798319974138,0.6588090411322256,429.2911705102642,180.18644820761486,368.28075818569846,2021212598.920187,2.0549027097401615,1081.3888878364926,Yes,False,9223372036627660214,9223372036821904751,9223372036470632086,9223372036821904751,0.5729490800795943,468.9656125638101
6980028.01834604,1659865.1813184798,2953299.6426978814,0.2378020800139703,0.3418213135797275,253.10708356960984,110.35023320221774,103.50721680946522,2016615850.717996,0.0,987.6425622305908,No,False,9223372037796655350,9223372037857933032,9223372037023377264,9223372037857933032,0.7681375616368455,1084.2235333043243
14052003.79212335,4552417.885029575,5981818.438786911,0.3239693037644473,0.3215267070694735,672.8608312746928,151.40762401106787,449.329893986623,2567111118.7399144,0.0,1906.1744910508703,No,False,9223372037535515202,9223372037612166140,9223372037612166140,9223372038013626273,0.8023344491475818,958.4951795442948
201179710.57390955,12880339.258861244,2290612.7951795277,0.0640240470677546,0.0107007953934842,64.41399188209233,20.627531148300342,31.320778495931716,3134256529.093067,0.0,711.0187083236361,No,False,9223372036646994383,9223372037273619212,9223372037273619212,9223372039496632812,0.4145165943033423,1846.9513161075356
14290027.779012296,2443358.283487482,5569213.620789327,0.1709834523258262,0.3328204823571344,347.3131211659184,163.18133546503827,75.93509114456253,2478810954.8536067,0.4293025232958108,531.2843906380735,Yes,False,9223372036556848228,9223372037416170226,9223372036749735665,9223372037416170226,0.7430990757207262,993.2150720363272
26810982.232019372,17208623.884125732,4140007.105364461,0.6418498112155736,0.0940491628762218,1431.0521558651003,162.19005580428947,511.65101085667925,2166376286.7282805,1.007068697035438,177.3247205871966,Yes,False,9223372036785776917,9223372037471340234,9223372037229254252,9223372037471340234,0.6923788961927704,1359.3963190069028
